"CALLE";"NUMERO";"M2";"DOLARES";"U_S_M2";"AMBIENTES";"ANTIGUEDAD";"ORIENT";"BAULERA";"COCHERA";"BA�.OS";"LAVADERO";"TERRAZA";"BARRIO";"COMUNA";"LON";"LAT"
"60";"11 DE SEPTIEMBRE DE 1888";4000;47;134000;2851.1;0;NA;"FRENTE";"No";"No";1;"No";"No";"NUÑEZ";13;-58.4637219234924;-34.54270736614
"61";"11 DE SEPTIEMBRE DE 1888";4000;200;780000;3900;4;1;"FRENTE";"No";"Si";4;"No";"Si";"NUÑEZ";13;-58.4637219234924;-34.54270736614
"62";"11 DE SEPTIEMBRE DE 1888";4300;39;125000;3205.1;0;NA;"CONTRAFRENTE";"Si";"Si";1;"No";"Si";"NUÑEZ";13;-58.4653933168769;-34.540447832203
"63";"11 DE SEPTIEMBRE DE 1888";4400;43;93500;2174.4;0;10;"FRENTE";"No";"No";1;"Si";"Si";"NUÑEZ";13;-58.4659714528034;-34.5396661653888
"64";"11 DE SEPTIEMBRE DE 1888";4400;47;120000;2553.2;0;12;"FRENTE";"No";"No";1;"Si";"No";"NUÑEZ";13;-58.4659714528034;-34.5396661653888
"65";"11 DE SEPTIEMBRE DE 1888";4400;74;170000;2297.3;0;20;"CONTRAFRENTE";"No";"Si";1;"No";"Si";"NUÑEZ";13;-58.4659714528034;-34.5396661653888
"66";"11 DE SEPTIEMBRE DE 1888";4600;47;95000;2021.3;0;40;"FRENTE";"No";"No";1;"Si";"Si";"NUÑEZ";13;-58.4670847082241;-34.5381611073221
"67";"14 de JULIO";1300;68;120000;1764.7;0;30;"FRENTE";"No";"No";0;"Si";"No";"VILLA ORTUZAR";15;-58.461927802709;-34.5783066870465
"68";"14 DE JULIO";1400;205;350000;1707.3;4;35;"FRENTE";"No";"Si";4;"No";"Si";"VILLA ORTUZAR";15;-58.4634048339756;-34.5766573605977
"69";"15 DE NOVIEMBRE DE 1889";1200;80;120000;1500;0;80;"FRENTE";"No";"No";2;"No";"Si";"CONSTITUCION";1;-58.382626471404;-34.6309937544672
"70";"15 DE NOVIEMBRE DE 1889";1600;27;49900;1848.1;0;NA;"FRENTE";"No";"No";0;"No";"No";"CONSTITUCION";1;-58.3877606883615;-34.6314530749632
"71";"24 DE NOVIEMBRE";50;62;87000;1403.2;3;90;"S/D";"No";"No";2;"No";"No";"BALVANERA";3;-58.4115441836361;-34.6111811818012
"72";"24 DE NOVIEMBRE";100;28;56000;2000;1;60;"CONTRAFRENTE";"No";"No";1;"No";"No";"BALVANERA";3;-58.4115188549515;-34.6118197614933
"73";"24 DE NOVIEMBRE";200;35;90000;2571.4;1;5;"CONTRAFRENTE";"No";"No";1;"No";"No";"BALVANERA";3;-58.4113053747983;-34.6129876593049
"74";"24 DE NOVIEMBRE";200;51;68000;1333.3;2;NA;"S/D";"No";"No";1;"No";"No";"BALVANERA";3;-58.4113053747983;-34.6129876593049
"75";"24 DE NOVIEMBRE";200;77;125000;1623.4;4;40;"FRENTE";"No";"No";2;"Si";"Si";"BALVANERA";3;-58.4113053747983;-34.6129876593049
"76";"24 DE NOVIEMBRE";200;79;135000;1708.9;4;40;"FRENTE";"Si";"No";0;"No";"No";"BALVANERA";3;-58.4113053747983;-34.6129876593049
"77";"24 DE NOVIEMBRE";200;80;160000;2000;4;37;"CONTRAFRENTE";"No";"Si";1;"No";"Si";"BALVANERA";3;-58.4113053747983;-34.6129876593049
"78";"24 DE NOVIEMBRE";400;27;50000;1851.9;1;NA;"CONTRAFRENTE";"No";"No";1;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"79";"24 DE NOVIEMBRE";400;39;74000;1897.4;1;NA;"S/D";"No";"No";1;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"80";"24 DE NOVIEMBRE";400;43;50000;1162.8;1;NA;"S/D";"No";"No";0;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"81";"24 DE NOVIEMBRE";400;45;74000;1644.4;1;1;"S/D";"No";"No";0;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"82";"24 DE NOVIEMBRE";400;50;110000;2200;2;NA;"CONTRAFRENTE";"No";"No";1;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"83";"24 DE NOVIEMBRE";400;52;89000;1711.5;2;NA;"CONTRAFRENTE";"No";"No";1;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"84";"24 DE NOVIEMBRE";400;56;89000;1589.3;2;NA;"FRENTE";"No";"No";0;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"85";"24 DE NOVIEMBRE";400;70;100000;1428.6;3;56;"FRENTE";"No";"No";2;"No";"No";"BALVANERA";3;-58.4109907232905;-34.6153012118511
"86";"24 DE NOVIEMBRE";1100;53;85000;1603.8;0;40;"CONTRAFRENTE";"No";"No";1;"No";"No";"SAN CRISTOBAL";3;-58.4103120046177;-34.6237076928055
"87";"24 DE NOVIEMBRE";1200;38;65000;1710.5;2;30;"LATERAL";"No";"No";0;"No";"No";"SAN CRISTOBAL";3;-58.4102064058427;-34.6247401217408
"88";"24 DE NOVIEMBRE";1200;50;120000;2400;3;9;"CONTRAFRENTE";"No";"Si";1;"Si";"Si";"SAN CRISTOBAL";3;-58.4102064058427;-34.6247401217408
"89";"24 DE NOVIEMBRE";1200;53;115000;2169.8;3;9;"S/D";"No";"Si";1;"Si";"Si";"SAN CRISTOBAL";3;-58.4102064058427;-34.6247401217408
"90";"24 DE NOVIEMBRE";1600;63;99000;1571.4;3;NA;"S/D";"No";"No";0;"No";"No";"PARQUE PATRICIOS";4;-58.4097062423018;-34.6298732209536
"91";"24 DE NOVIEMBRE";2000;48;95000;1979.2;0;50;"FRENTE";"No";"No";1;"No";"Si";"PARQUE PATRICIOS";4;-58.4091839602811;-34.6347097427412
"92";"24 DE NOVIEMBRE";2200;47;58000;1234;0;97;"S/D";"No";"No";1;"No";"No";"PARQUE PATRICIOS";4;-58.4089788540481;-34.6366609390649
"93";"25 DE MAYO";200;130;230000;1769.2;0;99;"FRENTE";"No";"No";2;"No";"No";"SAN NICOLAS";1;-58.3710939874852;-34.6054129385966
"94";"25 DE MAYO";800;44;88000;2000;0;30;"CONTRAFRENTE";"No";"No";0;"No";"No";"SAN NICOLAS";1;-58.3716409985724;-34.5984529631806
